sequence_a	sequence_b	rnadist	software
AE007285.1_6659-6583	X04465.1_101010-100933	1	carna
AF288740.1_1291-1357	U43285.1_2009-2075	12	carna
AE007658.1_8894-8810	AP003362.3_263674-263577	4	carna
AY519094.1_46-97	AB074072.1_1353-1404	0	carna
K02457.1_1-187	X04256.1_85-275	14	carna
AF493542.1_2517-2451	X55514.2_4416-4343	64	carna
AL132709.5_153488-153414	AL132709.5_142597-142509	66	carna
U16283.1_392-643	L76409.1_393-643	15	carna
U62673.1_1076-1101	U37575.1_1468-1493	0	carna
X06639.1_536-561	Z38128.1_1436-1461	0	carna
X52048.1_2-120	X62862.1_2-123	9	carna
D00076.1_1-119	M35395.1_1-119	0	carna
AP005345.1_54245-54147	AL445563.1_260054-259948	47	carna
AY165233.1_239-290	AY492770.1_846-897	0	carna
M16533.1_3-118	L08503.1_3-117	1	carna
AF017874.1_1-83	AB078005.1_809-892	2	carna
U80517.1_412-510	AF096640.1_517-615	0	carna
Z49275.1_645-762	X52049.1_2-120	0	carna
AB030907.1_1-391	X78867.1_2-193	130	carna
AF081485.1_4369-4429	M16560.1_4353-4413	4	carna
U23385.1_2-306	L34390.1_1-279	194	carna
AJ005298.1_56-3	AJ005310.1_56-3	0	carna
Z11822.1_1-116	L27343.1_3-116	10	carna
M84840.1_1-320	U51778.1_1-224	110	carna
AE005414.1_2595-2512	AB031211.1_7799-7884	0	carna
AF256208.1_693-810	AJ291718.1_701-816	0	carna
AJ414158.1_174343-174468	AP005331.1_182283-182408	47	carna
AY139479.1_35-118	AB115528.1_65-148	10	carna
M72888.1_1-195	X06474.1_512-707	0	carna
X56490.1_1-119	M10433.1_1-119	4	carna
BX005152.9_61960-61906	BX890619.6_6528-6474	1	carna
AF326167.1_61-144	Z79528.1_65-148	23	carna
X06839.1_3-124	D90253.1_251-366	20	carna
AF084746.1_65-148	AF119819.1_874-957	0	carna
AY043176.1_1284-1335	AY519120.1_46-97	0	carna
D00061.1_1-120	X55251.1_3-116	16	carna
X15602.1_102-172	M16450.1_142-214	0	carna
AY056701.1_199-450	L76410.1_391-642	0	carna
AF463477.1_1-178	AF217298.1_1-256	27	carna
AF359413.1_808-858	AF511949.1_9265-9315	0	carna
AF119795.2_4397-4457	AF316321.2_4400-4460	0	carna
D85268.1_459-527	AB042524.1_9391-9458	2	carna
AB078692.1_65-148	AF443112.1_230-313	0	carna
AL591977.1_131463-131588	AP005044.1_134132-134252	91	carna
AB115526.1_65-148	AB081743.1_65-148	4	carna
AE015526.1_127-357	AE016787.1_55358-55152	88	carna
AJ293918.1_4440-4500	X84981.1_4384-4444	0	carna
AF056630.1_1-237	AY188093.1_3-196	4	carna
U41288.1_3118-3192	AF087656.1_10795-10873	2	carna
AL646074.1_141575-141672	BX321858.1_45005-45113	56	carna
AJ535036.1_23-74	AF024128.1_120-171	4	carna
AE004717.1_4063-3947	AE016776.1_272500-272339	60	carna
AC005311.3_17031-17335	Z29112.1_1-302	11	carna
X05226.1_35-116	U25144.1_1062-991	2	carna
AY093604.1_65-148	AF442567.1_221-304	9	carna
Z84243.1_1-250	L38332.1_1-282	67	carna
AE007576.1_1562-1747	AE007856.1_5090-5262	9	carna
X15621.1_76-34	D87492.1_1479-1524	0	carna
X12631.1_1567-1497	U67537.1_160-234	6	carna
AJ550900.1_56-3	AJ005299.1_282-335	0	carna
AF254687.1_518-616	AF196731.1_579-677	10	carna
AE001441.1_7008-6912	AE000759.1_8335-8411	28	carna
Z50056.1_3-119	AF114034.1_6052-6168	1	carna
U24466.1_452-550	AF196717.1_578-676	0	carna
U50045.1_216-145	X12890.1_1972-2045	0	carna
AF056007.1_1-237	Z84258.1_1-251	81	carna
X00866.1_1-119	X58912.1_148-266	5	carna
AF029859.2_4361-4421	D90457.1_4467-4527	0	carna
AY302543.1_7296-7416	AF328683.1_7272-7392	60	carna
AY518997.1_46-97	AY165188.1_230-281	0	carna
BX571869.1_30799-30632	AE017174.1_111334-111550	67	carna
AY679786.1_1293-1344	AF457086.1_1281-1332	0	carna
Z79527.1_65-148	AF457090.1_59-142	24	carna
AF506659.1_2-234	D16620.1_3-310	163	carna
AJ005305.1_56-3	AJ241838.1_56-3	0	carna
BX842649.1_277414-277318	AE007789.1_9122-9015	1	carna
X15196.1_270-75	AE016770.1_235405-235209	2	carna
AC068900.3_7333-7404	U24159.1_431-359	1	carna
AP004822.1_15949-16047	AL591980.1_89597-89491	15	carna
AE003677.3_170128-170056	Z00044.1_50240-50312	1	carna
K01389.1_140-255	M59335.1_3-119	0	carna
AE017326.1_175321-175412	AJ301559.2_6878-7012	36	carna
L11783.1_1290-1341	AY518976.1_46-97	0	carna
AF069140.1_692-807	U86780.1_72-189	24	carna
U68519.1_65-148	AY371156.1_59-142	35	carna
J01390.1_6367-6447	D31785.1_832-903	4	carna
U80525.1_411-509	U89857.1_451-549	0	carna
AF212291.1_1229-1280	AF443087.1_1452-1503	5	carna
AF017894.1_29-112	AY093604.1_65-148	1	carna
AB042432.1_14140-14072	X59583.1_330-410	4	carna
AF156848.1_44-95	AY165189.1_238-289	0	carna
AE004221.1_2485-2350	AE017311.1_207890-207810	4	carna
AF408626.1_118-234	AF492624.1_73-186	100	carna
Z50066.1_3-119	S73542.1_3-119	1	carna
AY146052.1_3-208	L34369.1_1-279	177	carna
AJ006323.1_1-251	U51780.1_1-206	53	carna
AB073218.1_1-299	X14661.1_2-308	97	carna
AE013010.1_3537-3777	AP005947.1_7905-8125	180	carna
AY046058.1_8851-8906	AF063182.1_459-515	0	carna
AY587016.1_9125-9190	AF207773.1_9114-9179	0	carna
M59211.1_1348-1461	M68880.1_2362-2475	0	carna
L38339.1_3-291	AF057151.1_1-237	50	carna
X51471.1_6754-6681	J01399.1_2867-2939	3	carna
AF024164.1_90-141	AF289550.1_1462-1513	0	carna
AF443096.1_8961-9017	AF254719.1_394-450	4	carna
AY145975.1_3-241	L34391.1_1-279	119	carna
AF134759.1_1-181	AF041278.1_1-191	118	carna
AY651061.1_9129-9194	AF207756.1_9114-9179	0	carna
AY371158.1_1275-1326	AY304891.1_1283-1334	0	carna
J01390.1_6761-6842	X17113.1_351-433	2	carna
Z84221.1_1-250	AY190387.1_1-182	41	carna
AJ131585.1_3-115	X06851.1_1-118	16	carna
AJ428514.1_11535-11602	X12631.1_3132-3200	7	carna
X12631.1_1795-1866	X05915.1_238-170	0	carna
AJ270287.1_567-495	M68929.1_152677-152605	0	carna
AF386057.1_65-148	AF155537.1_65-148	22	carna
M91385.1_1046-1118	X17658.1_140-72	0	carna
AE004716.1_11608-11412	BX321858.1_81804-81577	203	carna
AY451114.1_148-231	AB081214.1_65-148	0	carna
AF484505.1_1293-1344	AY181079.1_46-97	1	carna
M34758.1_2-116	AF114033.1_6078-6194	2	carna
BX293564.5_22408-22462	AL928834.15_56933-56987	0	carna
X14848.1_3820-3750	AC006449.19_196857-196784	0	carna
AF196732.1_456-512	AJ271369.1_131-186	0	carna
X03904.1_2-116	M76579.1_4-118	11	carna
AF481777.1_65-148	U86771.1_97-180	13	carna
M28984.1_1-119	D10532.1_1-120	0	carna
L39106.1_237-350	AF075701.1_14-131	91	carna
AY051292.1_9321-9357	AB057688.1_1720-1756	0	carna
L37447.1_4-116	AL139074.2_44743-44859	4	carna
Z79545.1_65-148	AY463228.1_303-386	0	carna
AL954371.6_55095-55041	BX005175.8_210050-209996	0	carna
AJ293918.1_1-91	AF465511.1_1-91	0	carna
U03327.1_257-313	AF484495.1_8744-8800	0	carna
AJ295202.1_354-605	D90457.1_396-647	66	carna
AE004209.1_3442-3690	AF070520.1_2088-2190	40	carna
AY451097.1_148-231	AY098615.1_65-148	23	carna
L11782.1_1284-1335	AY519101.1_46-97	0	carna
AY173958.1_8870-8926	U72078.1_331-387	0	carna
M18744.1_76-164	AF008220.1_6172-6245	24	carna
AY188093.1_3-196	AY438097.1_1-225	100	carna
AP003190.2_76046-75937	AL162753.2_24984-25083	8	carna
X54113.1_230-415	M72890.1_1-196	44	carna
AF349396.1_33-84	AY253315.1_1287-1338	0	carna
AY344024.1_39-357	D14307.1_1-327	202	carna
X13006.1_1-116	X06835.1_1-119	4	carna
AP004826.1_205532-205707	M93419.1_332-511	18	carna
AF349382.1_33-84	M73480.1_3-54	0	carna
L48691.1_1171-1284	AF166003.1_1167-1280	0	carna
AE012558.1_14966-15083	AL591977.1_131463-131588	9	carna
AF164586.1_1190-1126	L36889.1_130-201	0	carna
AF075703.1_38-151	AB097870.1_72-188	16	carna
M74244.1_1-266	AF054253.1_1-236	120	carna
AE006699.1_3409-3482	K02229.1_1-83	39	carna
AF036748.1_120-164	Z69693.1_343-391	28	carna
Y08501.2_135699-135828	AJ251292.1_2399-2492	42	carna
