sequence_a	sequence_b	software	sensitivity	specificity	approx_correlation	correlation	matthew_coefficient
AY451226.1_148-231	AF281765.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
AF382013.1_10403-10467	X16888.1_869-940	foldalign	1.000	1.000	1.000	1.000	1.000
M59313.1_33-146	AF149787.1_1406-1519	foldalign	0.000	0.000	0.000	0.000	-0.021
AY358068.1_1284-1335	AB097866.1_1400-1451	foldalign	1.000	1.000	1.000	1.000	1.000
X05052.1_3-119	X02259.1_3-117	foldalign	0.447	0.459	0.453	0.443	0.443
X55255.1_4-120	M36309.1_1-120	foldalign	0.721	0.756	0.739	0.732	0.732
AF484496.1_1275-1326	AF024119.1_120-171	foldalign	1.000	1.000	1.000	1.000	1.000
AB081346.1_266-518	AF448783.1_395-646	foldalign	0.000	0.000	0.000	0.000	-0.007
AY145959.1_1-216	AF057154.1_1-237	foldalign	0.000	0.000	0.000	0.000	-0.009
U89864.1_451-549	AF096644.1_518-615	foldalign	0.800	0.741	0.770	0.765	0.765
K02349.1_1-119	M36309.1_1-120	foldalign	1.000	1.000	1.000	1.000	1.000
BX248354.1_27456-27566	AF269819.1_1816-1718	foldalign	0.900	0.964	0.932	0.930	0.930
X12631.1_1937-1868	AL590385.23_26487-26416	foldalign	0.333	0.333	0.333	0.311	0.311
Z29106.1_1-301	X65985.1_1-302	foldalign	0.000	0.000	0.000	0.000	-0.008
AJ400848.1_45575-45503	X55339.1_30-104	foldalign	0.741	0.833	0.787	0.777	0.777
X06694.1_9-124	M34763.1_3-117	foldalign	0.436	0.436	0.436	0.424	0.424
AC008670.6_83597-83665	L36887.1_4635-4707	foldalign	1.000	1.000	1.000	1.000	1.000
M93258.1_852-935	U29260.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
AE011282.1_7576-7478	AF264948.1_14680-14561	foldalign	0.000	0.000	0.000	0.000	-0.031
AP003362.3_263674-263577	AE017232.1_187012-187109	foldalign	0.000	0.000	0.000	0.000	-0.034
AF195141.1_689-759	AF093774.1_5851-5916	foldalign	0.048	0.056	0.052	0.003	0.003
AF156850.1_74-125	AY455779.1_1536-1587	foldalign	1.000	1.000	1.000	1.000	1.000
AF064490.1_9178-9228	U01214.1_9262-9312	foldalign	1.000	1.000	1.000	1.000	1.000
X00932.1_3-118	X06575.1_4-117	foldalign	0.800	0.842	0.821	0.817	0.817
AY165241.1_238-289	AF024048.1_165-216	foldalign	1.000	1.000	1.000	1.000	1.000
M26977.1_557-628	M20942.1_1-73	foldalign	0.000	0.000	0.000	0.000	-0.030
D10534.1_1-121	X06098.1_1-107	foldalign	0.389	0.467	0.428	0.409	0.409
L12006.1_1016-1191	AP005947.1_7905-8125	foldalign	0.113	0.130	0.122	0.108	0.108
